subcategory,cv,volatility_group,month_minus_3,month_minus_2,month_minus_1,prediction,historical_avg,actual,mape
紅斑魚片,0.2766510252177828,低波動,318.0,228.0,234.0,200.52940795078538,278.60555555555555,6.0,32.421567991797566
蒲燒鰻魚片,0.6533329759119206,中波動,495.28,659.0,533.28,479.04174065525996,273.73277777777776,0.0,999.0
雨傘旗清肉,0.07856742013183861,低波動,330.0,255.0,255.0,272.24975333830986,270.0,0.0,999.0
金目鱸魚,0.8488895222415364,高波動,420.2,349.0,420.0,251.0,252.32222222222222,0.0,999.0
鱸魚切塊,0.35881982392430517,低波動,235.0,213.36,170.0,206.13480146206697,244.92388888888888,0.0,999.0
鮭魚下巴,0.26159923540925606,低波動,436.0,300.0,705.0,514.7104189765056,426.1,2.0,256.3552094882528
鯖魚整尾,0.18983353385585872,低波動,312.0,216.0,288.0,231.7199989290702,229.66666666666666,0.0,999.0
杏鮑菇角料,0.3241383211825256,低波動,375.0,528.0,426.0,456.51942617445883,399.9,0.0,999.0
暑魚切塊,0.44035698782959587,中波動,194.87,210.0,206.5,213.0037187369953,220.0638888888889,0.0,999.0
冰心地瓜,0.35308358067557044,低波動,158.0,109.0,230.0,129.40949207449498,195.38888888888889,0.0,999.0
魷魚條,0.23509155650149688,低波動,223.0,194.0,203.0,229.7075622386873,190.2,0.0,999.0
虱目魚排,0.43532881356744557,中波動,72.0,120.1,300.0,174.2738943170783,171.65555555555557,0.0,999.0
赤宗,0.273018834108419,低波動,0.0,0.0,190.0,132.04419951603433,192.99375,0.0,999.0
鰈魚,0.5544834099130619,中波動,0.0,0.0,0.0,0.0,237.0076923076923,0.0,0.0
銀鯰魚片,0.16890119773938614,低波動,180.0,188.0,190.0,186.8868517050288,164.22222222222223,0.0,999.0
蒲燒腹排,0.5399420629802376,中波動,280.3,320.0,380.0,283.18024085888425,163.63055555555556,0.0,999.0
鮭魚清肉,0.6542854290746851,中波動,840.0,363.0,1560.0,897.915,921.0,0.0,999.0
薄鹽鯖魚切塊,0.4401077686215181,中波動,102.0,96.0,126.0,115.04665628564796,135.55555555555554,0.0,999.0
秋刀,0.6672456437498524,中波動,143.0,260.0,299.0,218.2244119862284,134.69444444444446,2.0,108.1122059931142
火鍋豬肉片,0.11700091449951104,低波動,133.0,122.0,148.0,131.126956587501,131.33333333333334,0.0,999.0
芋頭塊,0.5329280543577578,中波動,84.0,108.0,96.0,100.80000000000001,100.66666666666667,0.0,999.0
香茅檸檬腿排,0.15423494196636142,低波動,129.24,117.0,110.0,111.12639723996678,96.86444444444444,1.0,110.12639723996678
黃金日式厚切豬排,0.25133029009546065,低波動,102.0,135.0,115.1,133.22422823973832,96.05555555555556,1.0,132.22422823973832
黃金柳葉魚,0.4872344130230223,中波動,186.0,174.0,174.0,150.69209158089308,94.16666666666667,0.0,999.0
玉米筍切段,0.562565470541085,中波動,198.0,222.0,0.0,151.22388757668963,98.6470588235294,0.0,999.0
馬鈴薯丁,0.300844817817664,低波動,119.0,112.0,105.0,83.9788678041725,78.61111111111111,0.0,999.0
午仔魚一夜干,0.6605092511187893,中波動,45.0,57.0,56.0,55.3,77.17647058823529,0.0,999.0
鐵路大排,0.40792569808342194,中波動,36.1,66.0,42.0,52.27527491468097,69.02777777777777,0.0,999.0
菠菜,0.7792177165922756,中波動,267.0,776.0,187.0,308.44499999999994,410.0,0.0,999.0
雨傘旗魚腹肉,0.8321136205399035,高波動,174.0,67.0,12.0,39.0,63.15555555555556,0.0,999.0
咕咾肉,0.39768601576874896,低波動,99.0,98.0,87.0,90.675,60.45,10.0,8.067499999999999
大比目魚,0.4851180332381389,中波動,210.0,0.0,0.0,0.0,216.0,0.0,0.0
紅蘿蔔丁,0.6771494774763843,中波動,53.0,86.0,94.0,81.55000000000001,58.72222222222222,0.0,999.0
鱸魚下巴,1.1364877286028496,高波動,5.0,20.0,30.0,30.0,65.81375,0.0,999.0
紐澳良腿排,0.14426574146330257,低波動,57.12,61.0,79.0,62.49126453813049,58.18555555555555,0.0,999.0
無骨香酥雞排,0.1287960806702582,低波動,69.0,63.0,61.0,56.7411816646627,58.02333333333333,0.0,999.0
魷魚頭,0.4400777611137477,中波動,21.0,66.0,30.0,42.5789374156933,57.88235294117647,0.0,999.0
鮭魚條肉,0.6323949855331608,中波動,2.0,1.0,123.0,67.15460152885798,75.15384615384616,0.0,999.0
鹹豬肉片,0.3353608812264817,低波動,54.0,48.0,60.0,57.72532628511926,50.833333333333336,0.0,999.0
黑鯧,0.47216080011431855,中波動,0.0,0.0,0.0,0.0,66.15384615384616,0.0,0.0
大比目魚切片,0.1711632992203644,低波動,140.0,130.0,160.0,160.0,160.0,0.0,999.0
特級鱸魚片,0.566809330425481,中波動,40.9,40.0,146.0,77.41222283380148,57.00692307692308,0.0,999.0
黑輪片,0.5501311323450779,中波動,60.0,45.0,27.0,43.67378325112217,39.166666666666664,0.0,999.0
土雞去皮,0.36069542527498183,低波動,30.0,30.0,60.0,36.15081178432782,38.333333333333336,0.0,999.0
醬燒大排,0.2788007507696042,低波動,33.1,49.0,52.1,49.08540385314672,37.65,1.0,48.08540385314672
鮭魚清肉丁,0.36538204528745294,低波動,83.0,93.0,60.0,96.14813554412892,67.5,0.0,999.0
冷凍魚排,0.5645811053389707,中波動,24.0,48.0,96.0,53.69010532105018,35.644444444444446,0.0,999.0
豬頭皮煙燻,0.22745322492923706,低波動,39.0,38.0,36.0,39.590773602303805,35.333333333333336,0.0,999.0
無骨雞排,0.6592655881743358,中波動,28.0,22.0,16.1,26.95,33.96111111111111,0.0,999.0
香蒜帶踝去骨腿排肉,0.30549300851697925,低波動,35.0,33.0,31.1,32.06079352391879,33.623333333333335,0.0,999.0
988香酥魚排,1.8863140527065672,高波動,12.0,0.1,18.0,12.0,45.64692307692307,0.0,999.0
調理里肌豬排,0.397051566834572,低波動,16.1,16.0,25.0,16.255555555555556,32.51111111111111,1.0,15.255555555555556
白蝦,1.196844909363198,高波動,79.0,118.0,120.0,19.0,30.61111111111111,1.0,18.0
豬五花肉片,0.44949757259836015,中波動,65.0,54.0,62.0,53.77452899918299,40.69230769230769,0.0,999.0
裹粉柳葉魚,0.7350909618356846,中波動,140.0,180.0,10.0,115.5,104.032,0.0,999.0
金目鱸魚片,1.115993261472196,高波動,56.0,60.0,3.9,60.0,74.24285714285715,0.0,999.0
虱目魚皮,1.1586099252131838,高波動,166.0,149.0,0.0,16.0,57.666666666666664,0.0,999.0
正金線魚,0.5172976267606766,中波動,170.0,130.0,80.0,95.841,98.0,0.0,999.0
特級鯛魚片,0.590185266288513,中波動,16.0,30.0,35.0,28.35,30.25,5.0,4.67
薄鹽鯖魚碎肉,0.6470027665264063,中波動,50.0,0.0,64.0,51.17897799529999,43.09090909090909,0.0,999.0
鮪魚腹肉切塊,0.47648135078552906,中波動,21.0,0.0,12.0,34.34226317399999,47.1,0.0,999.0
黃花魚,1.2083910731705982,高波動,0.0,0.0,0.0,0.0,42.69090909090909,0.0,0.0
988香酥魚塊,0.48788669790908296,中波動,0.0,0.0,0.0,0.0,41.163636363636364,0.0,0.0
炙燒去骨腿排,0.2202722657924382,低波動,26.0,28.0,26.0,29.017620808302965,23.451666666666668,0.0,999.0
雞米花,0.5989782257516942,中波動,35.0,44.0,40.0,35.2502156153346,20.77777777777778,0.0,999.0
加州鱸魚片,0.6353290888893044,中波動,115.0,101.0,94.0,94.0,72.4,11.0,7.545454545454546
半香雞,0.39758613227756084,低波動,20.0,24.0,28.0,23.639729551663617,20.02777777777778,0.0,999.0
鯖魚原料,0.3506714347510871,低波動,0.0,20.0,20.0,26.43270471130915,24.285714285714285,0.0,999.0
火鍋牛肉片,0.7488250397817776,中波動,2.0,4.0,14.0,10.74502670207302,18.333333333333332,0.0,999.0
黑輪條,1.067810347919631,高波動,87.0,54.0,27.0,12.0,24.46153846153846,0.0,999.0
玉米塊,0.6369314476380217,中波動,24.0,12.0,15.0,15.615201639861606,16.166666666666668,3.0,4.205067213287202
鱸魚魚柳條,0.5968003883842133,中波動,25.0,3.0,31.0,20.0,17.0,0.0,999.0
金線魚,0.6085806194501846,中波動,30.0,50.0,30.0,50.0,54.0,0.0,999.0
生口柳葉魚,0.6488572049227956,中波動,26.0,40.0,18.0,27.370745999999993,23.6,0.0,999.0
熟台灣白蝦,0.9053393873187858,高波動,0.0,0.0,0.0,0.0,54.25,0.0,0.0
金目鱸魚一夜干,1.3204553013206757,高波動,82.0,0.0,42.0,6.5,19.6,0.0,999.0
鯰魚片(鱈斑魚片),0.5797442681353792,中波動,0.0,80.0,20.0,45.50000000000001,47.5,0.0,999.0
台灣薄鹽鯖魚片,0.5291502622129182,中波動,24.0,72.0,84.0,62.03999999999999,60.0,0.0,999.0
干貝酥,0.6822384132730698,中波動,7.0,7.0,11.0,8.0,9.88888888888889,0.0,999.0
烏魚塊,0.2,低波動,0.0,0.0,0.0,0.0,50.0,0.0,0.0
無骨白帶魚片,0.7317744373510828,中波動,0.0,0.0,0.0,0.0,36.0,0.0,0.0
肉排,0.7130282412164425,中波動,3.0,4.0,1.0,3.602034273571241,7.683333333333334,0.0,999.0
鯖魚剖半真空,0.0,低波動,0.0,12.0,0.0,12.0,12.0,0.0,999.0
廣島裹粉炸牡蠣,1.4473846032911846,高波動,0.0,0.0,0.0,0.0,42.333333333333336,0.0,0.0
金目鱸魚整尾,1.0449848530937023,高波動,0.0,0.0,0.0,0.0,34.666666666666664,0.0,0.0
鮭魚碎肉,0.6531729782531783,中波動,3.5,27.0,20.0,17.675,14.642857142857142,0.0,999.0
塔香腿排,0.4728676056635863,中波動,7.0,10.0,12.0,7.884401230084693,5.562222222222222,0.0,999.0
鯖魚一夜干,0.44799598045361555,中波動,0.0,0.0,6.0,14.355549999999997,15.166666666666666,0.0,999.0
鮭魚片,0.38118775950738254,低波動,8.0,2.0,7.0,7.168237667927829,7.545454545454546,5.0,0.4336475335855658
鰹魚輪切,1.1200906992753643,高波動,10.0,5.0,0.0,5.0,9.375,0.0,999.0
花枝丸,0.3005281355554742,低波動,10.0,15.0,0.0,13.8,13.8,0.0,999.0
芋丸,1.0697871023920809,高波動,3.0,2.0,3.0,3.0,6.0,0.0,999.0
大比目魚片,0.6682519366882328,中波動,0.0,5.0,5.0,10.0,10.4,0.0,999.0
特級花枝丸,0.7007648882267351,中波動,3.0,0.0,5.0,3.0879852906917993,3.2,1.0,2.0879852906917993
冷凍越南蠔肉,2.050650767148061,高波動,0.6,3.0,1.2,1.2,4.95,0.0,999.0
虱目魚頭,0.8935065245788755,高波動,5.0,21.0,0.0,5.5,9.0,0.0,999.0
香魚,0.7331135043265276,中波動,0.0,0.0,0.0,0.0,7.25,0.0,0.0
鮭魚頭,0.9921567416492215,高波動,0.0,0.0,2.0,8.0,8.0,0.0,999.0
柳葉魚爆卵,1.4958620610822122,高波動,0.0,0.0,0.0,0.0,7.333333333333333,0.0,0.0
蛤蜊肉,0.5240499688641008,中波動,0.0,0.0,0.0,0.0,2.1,0.0,0.0
天然膠原蛋白包,0.7806247497997998,中波動,0.0,4.0,0.0,5.26,5.333333333333333,0.0,999.0
燒烤鯖魚片,1.360897063089832,高波動,0.0,0.0,0.0,0.0,4.666666666666667,0.0,0.0
虱目魚胗,0.989743318610787,高波動,0.0,0.0,0.0,0.0,4.666666666666667,0.0,0.0
